time,Volume,Vol Snow,Vol Black Ice,Vol White Ice,Tot Inflow Vol,Tot Outflow Vol,Overflow Vol,Evaporation,Rain,Snowfall,Lake Level,Surface Area,Black Ice,Snow Height,Snow Density,White Ice,Albedo,Max Temp,Min Temp,Surface Temp,Daily Qsw,Daily Qe,Daily Qh,Daily Qlw,Light,Benthic Light,H_s,L,T,LakeNumber,Max dT/dz,CD
2010-04-15 24:00:00,5830612.916535,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   59.716769, -677.178434,  737.019692,    0.000000,   18.288000,637641.569000,    0.000000,    0.000000,    0.000000,    0.000000,    0.075646,    3.870787,    3.655290,    3.655290,3420264694841.020996,-1661118699112.979248,66699978049.364700,-9437296315286.794922,    0.000000,  100.000000,    0.054649,    1.292294,    0.909780,    0.006214,    0.755557,-9999.000000
2010-04-16 24:00:00,5829976.606109,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -670.551954,   32.933314,    0.000000,   18.287000,637606.702675,    0.000000,    0.000000,    0.000000,    0.000000,    0.075310,    3.477041,    3.477041,    3.477041,7214481352303.042969,-1644863943678.298096,747700132058.715210,-10314509594667.023438,  872.198993,  100.000000,    0.077429,    1.777959,    1.067127,    0.000000,    0.584499,-9999.000000
2010-04-17 24:00:00,5830612.916535,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, 1764.894031,    0.000000, 2406.310561,    0.000000,   18.288000,637641.569000,    0.000000,    0.000000,    0.000000,    0.000000,    0.074976,    4.221053,    4.221053,    4.221053,13595908814512.156250,    0.000000,6990811386886.790039,-1276224749997.531982,  763.330003,  100.000000,    0.168673,    3.556074,    1.509179,    0.000000,    0.584572,-9999.000000
2010-04-18 24:00:00,5830612.916535,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, 2368.338702,    0.000000, 2373.501478,    0.000000,   18.288000,637641.569000,    0.000000,    0.000000,    0.000000,    0.000000,    0.074644,    4.929184,    4.929184,    4.929184,13458025676968.093750,    0.000000,6423538388498.554688,-1424167000750.229248,  861.456761,  100.000000,    0.187258,    3.896680,    1.579803,    0.000000,    0.584586,-9999.000000
2010-04-19 24:00:00,5829088.589111,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-1527.405492,    0.000000,    0.000000,   18.285604,637558.044210,    0.000000,    0.000000,    0.000000,    0.000000,    0.074313,    5.200543,    5.200543,    5.200543,14981994218104.070312,-3746725670986.773438,1551898713667.620850,-4841932222973.309570,  952.482396,  100.000000,    0.196714,    4.067808,    1.614119,    0.000000,    0.584452,-9999.000000
2010-04-20 24:00:00,5827696.555105,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-1394.669810,    0.000000,    0.000000,   18.283417,637481.768374,    0.000000,    0.000000,    0.000000,    0.000000,    0.073984,    5.389955,    5.222913,    5.389955,15637635850876.314453,-3421125043592.502441,-27419588397.814224,-6231505855971.667969,  945.564217,  100.000000,    0.118723,    2.608751,    1.292623,    0.004225,    0.910832,-9999.000000
2010-04-21 24:00:00,5827214.054830,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -483.374155,    0.000000,    0.000000,   18.282659,637455.330002,    0.000000,    0.000000,    0.000000,    0.000000,    0.073656,    6.068138,    5.234302,    6.068138,15615218224586.900391,-1185716801347.380127,236969171346.121094,-5636901743529.691406,  955.239108,  100.000000,    0.047502,    1.134445,    0.852407,    0.157324,    1.193306,-9999.000000
2010-04-22 24:00:00,5826812.733526,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -402.032827,    0.000000,    0.000000,   18.282028,637433.339794,    0.000000,    0.000000,    0.000000,    0.000000,    0.073331,    6.402725,    5.245750,    6.402725,15821325851553.140625,-986186523438.070312,766808174054.728516,-5345665081320.827148,  976.074051,  100.000000,    0.044954,    1.077448,    0.830718,    0.481744,    0.074233,-9999.000000
2010-04-23 24:00:00,5826128.693762,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -685.220913,    0.000000,    0.000000,   18.280953,637395.858163,    0.000000,    0.000000,    0.000000,    0.000000,    0.073007,    7.057006,    5.261187,    7.057006,15954584051747.013672,-1680846900483.968018,611331639135.118530,-5574479583381.624023,  976.764806,  100.000000,    0.071506,    1.653914,    1.029229,    0.366797,    1.142108,-9999.000000
2010-04-24 24:00:00,5825297.140187,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -832.935399,    0.000000,    0.000000,   18.279646,637350.293584,    0.000000,    0.000000,    0.000000,    0.000000,    0.072686,    7.231840,    5.273899,    7.231840,16084250424804.574219,-2043190532749.022705,-687012144091.803101,-6466398200206.384766,  997.559350,  100.000000,    0.067851,    1.576636,    1.004896,    0.649020,    1.157062,-9999.000000
2010-04-25 24:00:00,5824468.755008,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -829.702527,    0.000000,    0.000000,   18.278344,637304.902615,    0.000000,    0.000000,    0.000000,    0.000000,    0.072366,    7.734465,    5.283613,    7.734465,16229590014631.884766,-2035260297995.284668,-120659610558.315811,-6338693893372.201172, 1000.006914,  100.000000,    0.060449,    1.418270,    0.953092,    1.034638,    0.063490,-9999.000000
2010-04-26 24:00:00,5824235.560026,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -927.604796,  694.049880,    0.000000,   18.277978,637292.124808,    0.000000,    0.000000,    0.000000,    0.000000,    0.072049,    7.924075,    5.294903,    7.924075,11604795245198.771484,-2275414565173.408203,784590962700.504761,-4234084086042.395996,  428.358374,  100.000000,    0.091180,    2.060644,    1.148833,    0.662018,    1.156702,-9999.000000
2010-04-27 24:00:00,5824266.067725,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -993.478961, 1024.033466,    0.000000,   18.278026,637293.796462,    0.000000,    0.000000,    0.000000,    0.000000,    0.071734,    8.033032,    5.320966,    8.033032,11159913377286.605469,-2437003891735.154785,1464766799955.902100,-2969048393666.259277,  956.220501,  100.000000,    0.132160,    2.868736,    1.355504,    0.421384,    0.801124,-9999.000000
2010-04-28 24:00:00,5823192.901712,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-1404.742434,  329.975929,    0.000000,   18.276339,637234.992845,    0.000000,    0.000000,    0.000000,    0.000000,    0.071422,    8.319155,    5.349326,    8.319155,15742313114862.279297,-3445833190651.589355,622078658588.221191,-4761365743434.786133,  997.433617,  100.000000,    0.138445,    2.988917,    1.383606,    0.399848,    0.057965,-9999.000000
2010-04-29 24:00:00,5821653.063230,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-1541.963003,    0.000000,    0.000000,   18.273919,637150.618134,    0.000000,    0.000000,    0.000000,    0.000000,    0.071112,    8.424166,    5.367494,    8.424166,16524607511005.265625,-3782435246066.014648,-1002436594062.674805,-6811724888013.203125, 1059.086294,  100.000000,    0.105798,    2.354227,    1.227947,    0.699520,    0.053796,-9999.000000
2010-04-30 24:00:00,5820403.147400,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-1251.489559,    0.000000,    0.000000,   18.271955,637082.129595,    0.000000,    0.000000,    0.000000,    0.000000,    0.070805,    8.705294,    5.376826,    8.705294,16997143789484.199219,-3069903888600.911133,-870227913054.102173,-7345541025898.108398, 1061.659351,  100.000000,    0.067542,    1.570039,    1.002791,    1.668258,    0.064485,-9999.000000
2010-05-01 24:00:00,5818997.064208,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-1485.571866,   77.878721,    0.000000,   18.269745,637005.083941,    0.000000,    0.000000,    0.000000,    0.000000,    0.070501,    8.589449,    5.395623,    8.589449,13404975925837.691406,-3644107787311.780273,-106295775350.016678,-5179707043519.619141,  612.505843,  100.000000,    0.112672,    2.490079,    1.262880,    0.743108,    0.890010,-9999.000000
2010-05-02 24:00:00,5824689.556789,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -358.270547, 6058.259062,    0.000000,   18.278691,637317.001343,    0.000000,    0.000000,    0.000000,    0.000000,    0.070199,    9.085643,    5.428321,    9.085643,11695396373379.062500,-878837650671.456177,2780699790811.686035,-2209668589258.639160,  855.770555,  100.000000,    0.180203,    3.767832,    1.553464,    0.409537,    0.901013,-9999.000000
2010-05-03 24:00:00,5830612.916535,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,  455.841790,    0.000000, 6390.909527,    0.000000,   18.288000,637641.569000,    0.000000,    0.000000,    0.000000,    0.000000,    0.069901,    9.921658,    5.459100,    9.921658,14603514107093.148438,    0.000000,4151211960388.733398,-2412386787379.034668,  980.245682,  100.000000,    0.188727,    3.923322,    1.585194,    0.495482,    0.902068,-9999.000000
